type,language,url,title,creators,source/applicant,publication_date,abstract,keywords
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107224&_cid=P10-L3TXGX-54087-1,"INFORMATION CONCEALING CONTROL DEVICE, INFORMATION CONCEALING DEVICE, INFORMATION RECONSTRUCTION CONTROL DEVICE, INFORMATION RECONSTRUCTION DEVICE, INFORMATION CONCEALING SYSTEM, INFORMATION CONCEALING CONTROL METHOD, INFORMATION RECONSTRUCTION CONTROL METHOD, INFORMATION CONCEALING CONTROL PROGRAM, AND INFORMATION RECONSTRUCTION CONTROL PROGRAM","TAMIYA, Hiroto",NEC CORPORATION,27.05.2022,"[Problem] To provide an information concealing control device, an information concealing device, an information reconstruction control device, an information reconstruction device, an information concealing system, an information concealing control method, an information reconstruction control method, an information concealing control program, and an information reconstruction control program for reducing the risk of information leakage. [Solution] This information concealing system 1000 comprises: an information concealing device 1 for generating a pseudo-random number, converting first information into first conversion information using the pseudo-random number, and generating, in a secret information generation unit and on the basis of the first conversion information, first secret information with which the first information can be reconstructed; and an information reconstruction device 2 for extracting information pertaining to a seed from the first secret information, generating a reconstruction-side pseudo-random number on the basis of the information pertaining to the seed, converting inputted second information into second conversion information using the reconstruction-side pseudo-random number, and reconstructing the first information that has been concealed as the first secret information, the reconstruction being performed on the basis of the second conversion information and the first secret information.","['H04L', '9/32']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107149&_cid=P10-L3TXGX-54087-1,PIPE-TO-PIPE CONNECTOR,"ASHOOSH, Kross",HAMASHBIR FOR AGRICULTURAL LTD.,27.05.2022,The presently disclosed invention relates to pipe connectors for facilitating a quick and convenient connection between pipes. One end of the connector is configured for connection to a threaded pipe and the other end of the connector includes two or more connector engagement clips so as to be configured to connect to a rigid or semi-rigid pipe.,"['F16L', '37/00']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107059&_cid=P10-L3TXGX-54087-1,A MODULE AND A SYSTEM FOR FIXING AN ACCESSORY TO A BICYCLE,"PINTO OLIVEIRA ARAÚJO, Pedro Jorge","POLISPORT PLÁSTICOS, S.A.",27.05.2022,"The present invention is enclosed in the area of accessories for bicycles, in particular the coupling of accessories to bicycles, more specifically the modules which provide the coupling of accessories of larger volume – such as child seats – to a bicycle. The module of the present invention provides an eased coupling of a module – and thus of the accessory which may be connected to it – to a bicycle. A rotatable coupling between two parts of a body of the module provides that a connection is pre-established, the user thereby only having to i) provide the portion of the bicycle within an inward section formed by the two parts, and then ii) providing the fastening between the two parts through fastener, the two parts and the inward section being such that provide a fit fixed coupling of the module to the portion of the bicycle.","['B62J', '1/16']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107239&_cid=P10-L3TXGX-54087-1,"DISPLAY APPARATUS, AND METHOD FOR COMPUTING THRESHOLD VALUE OF AMOUNT OF DISTORTION CAUSED IN CLINCH CLAW","NAGAISHI, Takuya",FUJI CORPORATION,27.05.2022,"A display apparatus for displaying, simultaneously in a graph, a plurality of data items of distortion caused in a clinch claw upon clinching a lead of a lead component, and a plurality of data items of distortion caused in the clinch claw upon failing to clinch the lead and instead mis-clinching. A method for a computing apparatus to compute a threshold value of the amount of distortion caused in a clinch claw, the threshold value being used when determining whether a clinch claw has clinched a lead of a lead component on the basis of data in graph form of a plurality of amounts of distortion caused in the clinch claw upon clinching the lead of the lead component, and data in graph form of a plurality of amounts of distortion caused in the clinch claw upon failing to clinch the lead and instead mis-clinching, the threshold value being between the two data in graph form.","['H05K', '13/04']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107194&_cid=P10-L3TXGX-54087-1,"OPTICAL COMMUNICATION DEVICE, OPTICAL ACCESS SYSTEM, AND OPTICAL COMMUNICATION METHOD",SENOO Yumiko,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,27.05.2022,"Provided is an optical communication device that communicates with another optical communication device using at least a time division multiplexing scheme. The optical communication device according to the present invention comprises a management control signal splitting unit for splitting a management control signal used for management and control, and a transmission unit for transmitting the split management control signal as a part of a burst signal to be transmitted at an assigned transmission timing.","['H04L', '12/44']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107254&_cid=P10-L3TXGX-54087-1,"SATELLITE SIGNAL RECEPTION DEVICE, SATELLITE SIGNAL PROCESSING METHOD, AND PROGRAM","YOSHIDA, Seiji",NIPPON TELEGRAPH AND TELEPHONE CORPORATION,27.05.2022,"This satellite signal reception device is provided with: a signal selection unit that selects, on the basis of reception quality of satellite signals received by a GNSS antenna, a predetermined number of satellite signals; and a measurement unit that executes time synchronization or positioning by using the predetermined number of satellite signals selected by the signal selection unit.","['G01S', '19/28']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107209&_cid=P10-L3TXGX-54087-1,"INDOOR UNIT, AND REFRIGERATION CYCLE DEVICE","KONO, Atsushi",MITSUBISHI ELECTRIC CORPORATION,27.05.2022,"This indoor unit comprises: a main body in which an opening is formed on the side of the main body facing a space to be air-conditioned and which is attached to an attachment part; a panel which covers the opening in the main body and which has formed therein a suction port for sucking in air and a blowout port for blowing out the air sucked in from the suction port; a blower that is provided to the main body and that forms a flow of the air sucked in from the suction port of the panel and blown out from the blowout port; a bellmouth that is provided upstream of the blower in the main body and that guides the air sucked in from the suction port to the blower side; and an electrical component box that is provided upstream of the bellmouth in the main body so as to form a space for air to flow between the main body and the bellmouth, and that stores a control unit for controlling the operation of the blower.","['F24F', '13/20']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107359&_cid=P10-L3TXGX-54087-1,AEROSOL GENERATION DEVICE,KAIHATSU Yutaka,JAPAN TOBACCO INC.,27.05.2022,The present invention provides an aerosol inhaler (1) comprising: a storage chamber (42) that stores an aerosol source (71) containing menthol; a first load (45) that heats up the aerosol source (71); an accommodation chamber (53) that accommodates a flavor source (52) capable of imparting flavor to the aerosol source (71) which has been vaporized and/or atomized with the heating by the first load (45); a second load (34) that heats up the flavor source (52); a power source (61) that is electrically connected to the first load (45) and the second load (34); and an MCU (63) that controls electric discharge from the power source (61) to the first load (45) and controls electric discharge from the power source (61) to the second load (34). The MCU (63) controls the electric discharge from the power source (61) to the second load (34) so that the temperature of the second load (34) converges to a first target temperature and then converges to a second target temperature that is lower than the first target temperature.,"['A24F', '40/30']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107164&_cid=P10-L3TXGX-54087-1,AN APPARATUS FOR STERILIZATION USING ULTRAVIOLET RAYS,"ACHARYA, Rajeshkumar Hariprasad",WEISMACHER ECO PRIVATE LIMITED,27.05.2022,"The present invention discloses an apparatus for sterilization using ultra violet rays comprises roof structure (1), base structure (2) and stand (3). The roof structure (1) comprises the at least one ultra violet tube light (7) and at least one sensor (8) to detect the object placed on the base structure (2). The base structure (2) comprises the at least one ultra violet tube light (5). Said ultra violet tube lights (5) & (7) are powered by the power circuit box (6). The roof structure (1) is supported by the stand (3). The sensor (8) detects the object (4) and ultra violet tube lights (5) & (7) automatically ON and in the absence of the object (4) on platform ultra violet tube light (5) & (7) automatically OFF. All wall inside of roof structure (1) and the base structure (2) are provided with mirrors to reflect the ultra violet rays towards object (4).","['A61L', '2/10']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107269&_cid=P10-L3TXGX-54087-1,OPTICAL MODULE,SHIRASAKI Akio,MITSUBISHI ELECTRIC CORPORATION,27.05.2022,"This optical module (100) comprises: a semiconductor laser (1), a light receiver (12), and a lens (3) which are mounted to a carrier (5); an optical fiber (4); and a control circuit (20) that controls the input current (Iop) of the laser (1) so that the output current (Im) of the light receiver (12) that receives a monitor beam (17) is constant. At least a portion of the light receiver (12) and the lens (3) are fixed to the carrier (5) by means of respective resin adhesive materials (7, 8) that exhibit thermosetting shrinkage. Initial positions of the laser (1), tip sections of the optical fiber (4), the light receiver (12), and the lens (3) based on the rear surface (24) of the carrier (5) are determined so that the characteristic change trends of the optical coupling efficiency of the laser (1) and the light receiver (12) and the optical coupling efficiency of the laser (1) and the optical fiber (4) are the same with respect to an exposure time during which the optical module (100) is exposed to an environmental temperature higher than room temperature.","['H01S', '5/022']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107374&_cid=P10-L3TXGX-54087-1,SEAL STRUCTURE FOR AUTOMOTIVE DOOR,KOJIMA Masahiro,"NISHIKAWA RUBBER CO., LTD.",27.05.2022,"[Problem] To facilitate the mounting of a glass run to a frame body without causing deterioration in external appearance, in particular. [Solution] A sub seal part 43 of a door weatherstrip 40 is configured to have a protrusion length such that, in a state where a glass run 20 is attached from the vehicle exterior side to a flange 10A that extends toward the vehicle exterior side in a frame body 10 and where the door weatherstrip 40 is attached to the vehicle interior side of a door 1 via clips, the distance (L), which is from a position P of a lower portion of a tip 43a of the sub seal part 43 of the door weatherstrip 40 being in contact with an inclined surface 23a of an upper wall portion 23 of the glass run 20 to a position of an upper face of a tip 29a of a lip portion 29 of the glass run 20 extending downward on the vehicle interior side, becomes greater than the length (X) of a perpendicular line which is, when drawn from the sub seal part 43 with respect to an inclined plane portion 10B of the frame body 10, tangent to the position S of the upper face of the tip 29a of the lip portion 29.","['B60J', '10/40']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107314&_cid=P10-L3TXGX-54087-1,INDOOR UNIT OF AIR CONDITIONER AND METHOD FOR REMOVING WIND DIRECTION PLATE,"YADA, Mizuki",MITSUBISHI ELECTRIC CORPORATION,27.05.2022,"This indoor unit of an air conditioner comprises: a wind direction plate that adjusts the orientation of air; an air outlet unit having a base in which an air outlet for blowing out air is formed, and having the wind direction plate attached thereto so as to cover the air outlet; and an attachment part that rotatably attaches the wind direction plate to the air outlet unit. The base of the air outlet unit has a shaft support part that is formed with a support opening that opens in the direction of the axis about which the wind direction plate rotates, while being located at the air outlet. The wind direction plate has: a plate-shaped vane part; a first protruding part that protrudes from the vane part toward the air outlet and is formed with a first shaft opening; and a second protruding part that protrudes from the vane part toward the air outlet, faces the first protruding part with the shaft support part therebetween, and is formed with a second shaft opening. The attachment part has: a plate part that contacts one surface of the first protruding part in the axial direction and is wider than the first shaft opening; a shaft part that extends from the plate part and is inserted into the first shaft opening, the support opening, and the second shaft opening; and an engagement claw part that engages with the other surface of the first protruding part facing the one surface. The second protruding part has a cut-away part formed along the extension direction of the shaft part so that the shaft part is exposed.","['F24F', '13/20']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107329&_cid=P10-L3TXGX-54087-1,"OPTICAL COMMUNICATION SYSTEM, CONTROL METHOD, AND OPTICAL SUBSCRIBER LINE TERMINATING DEVICE",NAGOSHI Haruka,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,27.05.2022,"One embodiment of the present invention pertains to an optical communication system in which a station-side communication device and an optical subscriber line terminating device are connected to each other by an optical communication line. In the optical communication system, when the optical subscriber line terminating device receives, from the station-side communication device, an activation signal for the first time in a sleep mode, the optical subscriber line terminating device executes activation processing for transfer from the sleep mode to an activation mode, and also notifies the station-side communication device of an activation time corresponding to the time required for executing the activation processing. Furthermore, when the station-side communication device transmits the activation signal for the second time and thereafter, data transmission for the station-side communication device is started after a lapse of the activation time, which has been notified from the optical subscriber line terminating device, from the transmitting of the activation signal.","['H04L', '12/44']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107299&_cid=P10-L3TXGX-54087-1,MOUNTING-RELATED SYSTEM,"OYAMA, Shigeto",FUJI CORPORATION,27.05.2022,"A mounting-related system having mounting-related equipment for performing a mounting process is provided, wherein a member for use in the mounting process is transported to the mounting-related equipment automatically by an automatic transport vehicle. The mounting-related system comprises: a storage unit in which instruction content for providing an instruction concerning the travel of the automatic transport vehicle is stored, for each of a plurality of types of automatic transport vehicle, as an instruction block that can be displayed in block form on a screen; a display unit which displays instruction blocks for a plurality of types of automatic transport vehicle so as to be selectable by an operator; a setting unit which, on the basis of an instruction block selected by the operator among the instruction blocks displayed on the screen, sets a travel instruction flow for the automatic transport vehicle for performing automatic transport in the mounting-related system; and a control unit which performs travel control of the automatic transport vehicle on the basis of the travel instruction flow that has been set.","['H05K', '13/00']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107389&_cid=P10-L3TXGX-54087-1,WIRING BOARD,OYAIZU Naoki,FUJIKURA LTD.,27.05.2022,"A wiring board comprises a first insulation layer, a first conductor layer, and a plurality of filled vias. The first insulation layer has a first surface, and a second surface positioned on the reverse side from the first surface. The first conductor layer is formed on the first surface of the first insulation layer. The plurality of filled vias are formed inside the first insulation layer. Each of the plurality of filled vias has a structure in which metal is filled in a via hole that penetrates the first insulation layer. The first conductor layer includes a pad. The pad overlaps the plurality of filled vias and is connected to the plurality of filled vias in plan view seen from the thickness direction of the first insulation layer.","['H05K', '1/02']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107344&_cid=P10-L3TXGX-54087-1,"HANDHELD MASK, AND METHOD FOR MANUFACTURING HANDHELD MASK",EZURE Satoru,SHINWA LTD.,27.05.2022,"This handheld mask 1, 201 comprises: a sheet-form first surface portion 2, 202 having an obverse surface 14 and a reverse surface 16, 216, the first surface portion 2, 202 being such that the short-axis-direction width thereof decreases from one long-axis-direction end toward the other long-axis-direction end; and a reinforcing portion 4, 204 that extends from the one long-axis-direction end of the first surface portion 2, 202 to the other long-axis-direction end thereof.","['A62B', '18/02']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107284&_cid=P10-L3TXGX-54087-1,"CONCEALMENT DEVICE, CONCEALMENT METHOD, AND PROGRAM","HASEGAWA, Satoshi",NIPPON TELEGRAPH AND TELEPHONE CORPORATION,27.05.2022,This concealment device according one embodiment of the present invention is for concealing data through stochastic randomization. The concealment device has: a conversion unit that converts the data to a member of a binary vector set in which a Hamming distance between any two binary vectors is predetermined L or less; and a randomization unit that randomizes elements of the member into 0 or 1 such that each of the elements is in compliance with p=(eε/L)/(eε/L+1) when the value of the element is 1 and q=1/(eε/L+1) (where ε represents a parameter indicating the intensity of privacy) when the value of the element is 0.,"['H04L', '9/28']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107464&_cid=P10-L3TXGX-54087-1,CASE AND ELECTRIC APPARATUS,MIURA Shinichi,DENSO CORPORATION,27.05.2022,"A power conversion apparatus according to the present invention comprises a case. The case comprises a case body (40) and a lower cover (50). A body floor portion (41) of the case body (40) has a recess (60), and the recess (60) is covered with the lower cover (50) to form a floor flow path. The floor flow path comprises an upstream path (32a) and a downstream path (32b). The lower cover (50) comprises joint plate portions (52, 53), a flow path plate portion (54), and a bead (55). The joint plate portions (52, 53) are arranged with the floor flow path (32) therebetween in the width direction of the floor flow path (32). The flow path plate portion (54) is provided between the joint plate portions (52, 53) in the width direction of the floor flow path (32). The bead (55) is provided between the joint plate portions (52, 53) and the flow path plate portion (54), and extends in a direction transverse to the flow path plate portion (54).","['H05K', '5/02']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107479&_cid=P10-L3TXGX-54087-1,HEAT SPREADING DEVICE,"KOJIMA, Keijiro","MURATA MANUFACTURING CO., LTD.",27.05.2022,"A vapor chamber 1, which is an embodiment of a heat spreading device, comprises a housing 10, a working medium 20, and a wick 30. The wick 30 includes a first porous body 41 and a second porous body 42 which support a first inner wall surface 11a and a second inner wall surface 12a of the housing 10 from inside. The first porous body 41 extends along a direction perpendicular to a thickness direction Z, and is split via a first split region R1 in the extending direction. The second porous body 42 is disposed with a gap from the first porous body 41 so as to be fitted in the first split region R1.","['H01L', '23/427']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107434&_cid=P10-L3TXGX-54087-1,"PROCESS ANALYSIS DEVICE, PROCESS ANALYSIS METHOD, AND PROCESS ANALYSIS PROGRAM","HATTORI, Reiko",OMRON CORPORATION,27.05.2022,A process analysis device according to the present invention comprises: a normal data acquisition unit that acquires a plurality of pieces of first state data relating to the normal state of a plurality of mechanisms constituting a production line; an abnormal data acquisition unit that acquires a plurality of pieces of second state data relating to the state of the plurality of mechanisms when an abnormality occurs; a normal period analysis unit that identifies the connection state between the plurality of mechanisms as a first connection state by analyzing the acquired plurality of pieces of first state data; an abnormal period analysis unit that identifies the connection state between the plurality of mechanisms as a second connection state by analyzing the acquired plurality of pieces of second state data; a normal period relationship identification unit that identifies the causal relationship between the plurality of mechanisms in a process carried out on the production line as a normal period causal relationship on the basis of the first connection state; an abnormal period relationship identification unit that identifies the causal relationship between the plurality of mechanisms in the process carried out on the production line as an abnormal period causal relationship on the basis of the second connection state; and a special causal relationship identification unit that compares the normal period causal relationship and the abnormal period causal relationship and identifies the causal relationship between a plurality of the mechanisms involved in the occurrence of an abnormality as a special causal relationship.,"['G05B', '19/418']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107494&_cid=P10-L3TXGX-54087-1,"CONTROLLER, BOOM DEVICE, AND CRANE TRUCK","KARASHIMA, Daiki",TADANO LTD.,27.05.2022,"[Problem] To provide a controller making it possible to prevent the occurrence of irregular winding and damage to a latch fitting in automatic deployment and automatic stowing of a boom. [Solution] This controller uses the length L of a boom, an A and B (first designated values) indicating coordinates of a latch fitting, and a length K (second designated value) that is the sum of the length of a hook block and the length of a latch fitting as well as a derricking angle θ of the boom to generate a theoretical wire feed length X1(θ) at an orientation where the hook block is hoisted up and a theoretical wire feed length X2(θ) at an orientation where the hook block is put down (S14). After the wire is wound up and stretched, the controller feeds out wire commensurate with a target value that is the mean value of X1(θ) and X2(θ) (S19), and brings the hook block to an intermediate orientation between the hoisted-up orientation and the put-down orientation. The controller derricks the boom and drives a winch so as to maintain the intermediate orientation.","['B66C', '23/06']"
Patent,,https://patentscope.wipo.int/search/ru/detail.jsf?docId=WO2022107539&_cid=P10-L3TXGX-54087-1,INFORMATION PROCESSING FOR OUTPUTTING COMPREHENSIVE DETERMINATION RESULT ON THE BASIS OF A PLURALITY OF DETERMINATION MATERIALS,"KATO, Koji","PLM REVOLUTION CO., LTD.",27.05.2022,"This invention computerizes work requiring a ""determination"" that reflects all requests for each of a plurality of determination materials.　A table 011 that associates ""a combination of determination grounds information"" and ""determination result information"" is formed by making use of: the fact that determination result information is information of a limited scope according to the purpose and the content of determination work; and the fact that a feature, performance, price, application or the like included in the determination result information, which serve as ""grounds"" for making a determination, are used as a ""combination of determination grounds information"", which makes it possible to identify the determination result information. In addition, on the basis of a determination material importance set in a table 012 and the determination grounds information and the importance setting for each of the determination materials, a ""combination of determination grounds information"" is generated; a process 013 is executed for reordering combinations in the selection priority order; a process 014 is executed for searching for a ""combination of determination grounds information"" in the table 011 on the basis of the generated information; and associated ""determination result information"" is thus referenced and a result 015 is output.","['G06Q', '10/06']"
